client_id,group_id,latency_ms,meets_200ms
frontend-client,1,25,yes
frontend-client,1,26,yes
frontend-client,1,27,yes
frontend-client,1,6,yes
frontend-client,1,6,yes
frontend-client,1,8,yes
frontend-client,1,10,yes
frontend-client,1,11,yes
frontend-client,1,11,yes
frontend-client,1,6,yes
frontend-client,1,12,yes
frontend-client,1,13,yes
frontend-client,1,15,yes
frontend-client,1,5,yes
frontend-client,1,10,yes
frontend-client,1,11,yes
frontend-client,1,11,yes
frontend-1778869616680-508da595-8f628cc,1,6,yes
frontend-client,1,8,yes
frontend-client,1,12,yes
frontend-client,1,13,yes
frontend-client,1,14,yes
frontend-client,1,14,yes
frontend-1778869626040-5b094ae3-41ce7d61,1,15,yes
frontend-client,1,16,yes
frontend-1778869252403-adf9b98e-3fcc9868,1,17,yes
frontend-client,1,21,yes
frontend-client,1,24,yes
frontend-1778869650705-68b571a5-96137b72,1,2,yes
frontend-1778869626040-5b094ae3-41ce7d61,1,6,yes
frontend-1778869839207-7d1307fe-3427718c,1,7,yes
frontend-1778869650705-68b571a5-96137b72,1,9,yes
frontend-1778869626040-5b094ae3-41ce7d61,1,9,yes
frontend-1778869839207-7d1307fe-3427718c,1,9,yes
frontend-1778869865339-4f61745a-c930c43f,1,8,yes
frontend-1778869626040-5b094ae3-41ce7d61,1,9,yes
frontend-1778869878874-e4bd988a-6a158def,1,10,yes
frontend-1778869839207-7d1307fe-3427718c,1,9,yes
frontend-1778870160279-b9136830-2ba42183,1,6,yes
frontend-1778870163918-54ada994-65fac6a4,1,6,yes
frontend-1778869878874-e4bd988a-6a158def,1,10,yes
frontend-1778869839207-7d1307fe-3427718c,1,14,yes
frontend-1778870163918-54ada994-65fac6a4,1,9,yes
frontend-1778870160279-b9136830-2ba42183,1,8,yes
frontend-1778870160279-b9136830-2ba42183,1,16,yes
frontend-1778870163918-54ada994-65fac6a4,1,22,yes
frontend-1778870160279-b9136830-2ba42183,1,3,yes
frontend-1778870163918-54ada994-65fac6a4,1,11,yes
frontend-1778870163918-54ada994-65fac6a4,1,5,yes
frontend-1778870160279-b9136830-2ba42183,1,6,yes
frontend-1778870160279-b9136830-2ba42183,1,5,yes
frontend-1778870163918-54ada994-65fac6a4,1,6,yes
frontend-1778870386906-c7e4fef2-63fd0517,1,7,yes
frontend-1778870389616-da348dec-9b75dca6,1,9,yes
frontend-1778870389616-da348dec-9b75dca6,1,8,yes
frontend-1778870425738-4779aa10-8cda4aea,1,9,yes
frontend-1778870427307-6fa6d5bd-b20fede4,1,12,yes
frontend-1778870425738-4779aa10-8cda4aea,1,5,yes
frontend-1778870427307-6fa6d5bd-b20fede4,1,6,yes
frontend-1778870586980-b6727b8f-90d46512,1,3,yes
frontend-1778870425738-4779aa10-8cda4aea,1,6,yes
frontend-1778870584775-fe67f4d9-e1ddd068,1,7,yes
frontend-1778870427307-6fa6d5bd-b20fede4,1,11,yes
frontend-1778870586980-b6727b8f-90d46512,1,11,yes
frontend-1778870584775-fe67f4d9-e1ddd068,1,8,yes
frontend-1778870586980-b6727b8f-90d46512,1,7,yes
frontend-1778870584775-fe67f4d9-e1ddd068,1,10,yes
frontend-1778870586980-b6727b8f-90d46512,1,11,yes
frontend-1778870584775-fe67f4d9-e1ddd068,1,15,yes
