orden,escenario,escenario_label,grupo,client_id,ack_ok,aparece_historico
1,01_sin_limitacion,Sin limitacion,G1,test-01_sin_limitacion-g1,True,True
1,01_sin_limitacion,Sin limitacion,G2,test-01_sin_limitacion-g2,True,True
2,02_ancho_banda_10mbit,BW 10 Mbit,G1,test-02_ancho_banda_10mbit-g1,True,True
2,02_ancho_banda_10mbit,BW 10 Mbit,G2,test-02_ancho_banda_10mbit-g2,True,True
3,03_ancho_banda_1mbit,BW 1 Mbit,G1,test-03_ancho_banda_1mbit-g1,True,True
3,03_ancho_banda_1mbit,BW 1 Mbit,G2,test-03_ancho_banda_1mbit-g2,True,True
4,04_delay_100ms,Delay 100 ms,G1,test-04_delay_100ms-g1,True,True
4,04_delay_100ms,Delay 100 ms,G2,test-04_delay_100ms-g2,True,True
5,05_delay_200ms,Delay 200 ms,G1,test-05_delay_200ms-g1,True,True
5,05_delay_200ms,Delay 200 ms,G2,test-05_delay_200ms-g2,True,True
6,06_loss_2porciento,Loss 2%,G1,test-06_loss_2porciento-g1,True,True
6,06_loss_2porciento,Loss 2%,G2,test-06_loss_2porciento-g2,True,True
7,07_loss_5porciento,Loss 5%,G1,test-07_loss_5porciento-g1,True,True
7,07_loss_5porciento,Loss 5%,G2,test-07_loss_5porciento-g2,True,True
8,08_red_mala_delay_loss,Delay 100 ms + loss 2%,G1,test-08_red_mala_delay_loss-g1,True,True
8,08_red_mala_delay_loss,Delay 100 ms + loss 2%,G2,test-08_red_mala_delay_loss-g2,True,True
