[2026-05-12 11:30:03] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:54816 | mensaje: client_id=client-1; group_id=1; seq=1; message=Prueba guardado grupo 1
[2026-05-12 11:41:08] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:49270 | mensaje: client_id=client-2; group_id=1; seq=1; timestamp_ms=1778586068986; message=Mensaje con medicion de latencia
[2026-05-12 11:46:29] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:58388 | mensaje: client_id=client-2; group_id=1; seq=1; timestamp_ms=1778586389554; message=Mensaje con medicion de latencia
[2026-05-12 11:48:19] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:40548 | mensaje: client_id=send-1; group_id=1; seq=1; timestamp_ms=1778586499845; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:20] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:40552 | mensaje: client_id=send-1; group_id=1; seq=2; timestamp_ms=1778586500853; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:21] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:40556 | mensaje: client_id=send-1; group_id=1; seq=3; timestamp_ms=1778586501856; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:22] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:40558 | mensaje: client_id=send-1; group_id=1; seq=4; timestamp_ms=1778586502865; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:23] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:40572 | mensaje: client_id=send-1; group_id=1; seq=5; timestamp_ms=1778586503871; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:24] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:40584 | mensaje: client_id=send-1; group_id=1; seq=6; timestamp_ms=1778586504878; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:25] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:40590 | mensaje: client_id=send-1; group_id=1; seq=7; timestamp_ms=1778586505886; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:26] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:40592 | mensaje: client_id=send-1; group_id=1; seq=8; timestamp_ms=1778586506888; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:27] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:58846 | mensaje: client_id=send-1; group_id=1; seq=9; timestamp_ms=1778586507893; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:28] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:58862 | mensaje: client_id=send-1; group_id=1; seq=10; timestamp_ms=1778586508902; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:29] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:58864 | mensaje: client_id=send-1; group_id=1; seq=11; timestamp_ms=1778586509912; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:30] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:58878 | mensaje: client_id=send-1; group_id=1; seq=12; timestamp_ms=1778586510926; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:31] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:58886 | mensaje: client_id=send-1; group_id=1; seq=13; timestamp_ms=1778586511933; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:32] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:58898 | mensaje: client_id=send-1; group_id=1; seq=14; timestamp_ms=1778586512945; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:33] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:58908 | mensaje: client_id=send-1; group_id=1; seq=15; timestamp_ms=1778586513950; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:34] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:58912 | mensaje: client_id=send-1; group_id=1; seq=16; timestamp_ms=1778586514952; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:35] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:58914 | mensaje: client_id=send-1; group_id=1; seq=17; timestamp_ms=1778586515959; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:36] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:41360 | mensaje: client_id=send-1; group_id=1; seq=18; timestamp_ms=1778586516980; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:37] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:41370 | mensaje: client_id=send-1; group_id=1; seq=19; timestamp_ms=1778586517986; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:38] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:41378 | mensaje: client_id=send-1; group_id=1; seq=20; timestamp_ms=1778586518999; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:40] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:41380 | mensaje: client_id=send-1; group_id=1; seq=21; timestamp_ms=1778586520002; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:41] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:41382 | mensaje: client_id=send-1; group_id=1; seq=22; timestamp_ms=1778586521010; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:42] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:41396 | mensaje: client_id=send-1; group_id=1; seq=23; timestamp_ms=1778586522019; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:43] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:41408 | mensaje: client_id=send-1; group_id=1; seq=24; timestamp_ms=1778586523022; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:44] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:41424 | mensaje: client_id=send-1; group_id=1; seq=25; timestamp_ms=1778586524028; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:45] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:41426 | mensaje: client_id=send-1; group_id=1; seq=26; timestamp_ms=1778586525036; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:46] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:41432 | mensaje: client_id=send-1; group_id=1; seq=27; timestamp_ms=1778586526046; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:47] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:50634 | mensaje: client_id=send-1; group_id=1; seq=28; timestamp_ms=1778586527049; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:48] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:50650 | mensaje: client_id=send-1; group_id=1; seq=29; timestamp_ms=1778586528056; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:49] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:50652 | mensaje: client_id=send-1; group_id=1; seq=30; timestamp_ms=1778586529059; message=prueba 1 emisor 1 receptor
[2026-05-12 11:48:50] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:50654 | mensaje: client_id=send-1; group_id=1; seq=31; timestamp_ms=1778586530071; message=prueba 1 emisor 1 receptor
[2026-05-12 11:49:42] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35080 | mensaje: client_id=send-1; group_id=1; seq=1; timestamp_ms=1778586582090; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:42] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35096 | mensaje: client_id=send-2; group_id=1; seq=1; timestamp_ms=1778586582106; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:42] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35110 | mensaje: client_id=send-3; group_id=1; seq=1; timestamp_ms=1778586582121; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:42] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35112 | mensaje: client_id=send-5; group_id=1; seq=1; timestamp_ms=1778586582123; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:42] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35122 | mensaje: client_id=send-4; group_id=1; seq=1; timestamp_ms=1778586582131; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:43] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35138 | mensaje: client_id=send-1; group_id=1; seq=2; timestamp_ms=1778586583093; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:43] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35150 | mensaje: client_id=send-2; group_id=1; seq=2; timestamp_ms=1778586583109; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:43] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35166 | mensaje: client_id=send-4; group_id=1; seq=2; timestamp_ms=1778586583134; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:43] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35172 | mensaje: client_id=send-3; group_id=1; seq=2; timestamp_ms=1778586583142; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:43] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35188 | mensaje: client_id=send-5; group_id=1; seq=2; timestamp_ms=1778586583153; message=prueba 5 emisores grupo 1
